lat,lon
37.38077,127.12954
37.35903,127.1574
37.37174,127.13122
37.37686,127.13327
37.38289,127.15136
37.38255,127.15132
37.37471,127.13623
37.37471,127.13609
37.38266,127.15152
37.38265,127.15147
37.37181,127.13901
37.38259,127.15154
37.3674,127.14558
37.38276,127.15134
37.3828,127.15134
37.38271,127.15164
37.38353,127.15004
37.37198,127.13875
37.40488,127.12143
37.37774,127.13277
37.37805,127.13318
37.35909,127.15748
37.36614,127.14248
37.37665,127.13488
37.37767,127.1339
37.37026,127.12828
37.35782,127.10213
